Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,No,No,2469,8874,1027,360,1,No,No
Female,Yes,1,No,Yes,7307,5254,7880,180,1,No,No
Male,Yes,0,No,No,8260,5778,9175,360,1,No,No
Male,No,2,No,No,4637,8150,4527,240,0,No,Yes
Female,No,3+,Yes,Yes,2292,5955,5536,360,1,Yes,No
Male,No,3+,Yes,Yes,6336,2397,9257,180,0,Yes,No
Female,Yes,1,No,No,5925,6818,3241,240,1,Yes,Yes
Female,Yes,2,No,Yes,2286,2258,6054,240,1,Yes,Yes
Male,Yes,2,Yes,No,2648,8864,4520,180,1,Yes,No
Female,No,0,No,Yes,1912,8976,3519,240,1,No,Yes
Male,Yes,1,No,Yes,7447,8427,1032,240,1,No,Yes
Female,Yes,1,Yes,Yes,8962,3610,7796,180,1,Yes,Yes
Male,Yes,0,Yes,Yes,3243,6456,3161,360,0,Yes,No
Male,No,1,No,Yes,5021,4142,7013,180,1,Yes,Yes
Female,Yes,0,Yes,Yes,1804,4735,6337,240,1,Yes,Yes
Female,Yes,2,No,No,9105,6941,8666,240,1,No,No
Female,No,0,Yes,Yes,2288,9880,8074,360,0,No,Yes
Male,No,2,No,No,7008,6200,3291,180,1,Yes,Yes
Female,Yes,3+,No,No,3555,1283,4749,180,1,Yes,No
Male,No,1,Yes,No,2143,3766,5979,360,1,Yes,Yes
Female,Yes,1,Yes,Yes,4160,1211,4788,240,1,No,Yes
Female,No,1,No,No,8742,1517,1806,240,1,Yes,Yes
Male,No,1,No,Yes,6248,6422,2969,240,1,No,Yes
Male,No,2,Yes,Yes,3825,2886,2254,360,1,Yes,No
Female,No,0,No,No,1207,6256,1812,240,0,Yes,Yes
Male,No,1,No,Yes,6052,3210,3913,240,1,Yes,No
Male,No,3+,Yes,Yes,6185,9932,6675,180,1,No,Yes
Male,Yes,3+,Yes,Yes,5116,5212,2742,180,1,No,No
Female,No,1,No,Yes,8839,8334,1153,180,1,No,No
Male,Yes,2,No,Yes,3716,6008,3768,180,1,Yes,No
Male,Yes,0,Yes,Yes,6666,5011,4967,240,1,Yes,Yes
Female,Yes,1,Yes,No,8718,3565,7601,360,1,Yes,No
Male,No,3+,Yes,Yes,4038,4405,3495,180,1,Yes,No
Female,No,0,No,Yes,8268,4627,8055,240,0,Yes,No
Female,No,3+,No,No,1147,3480,2917,180,1,No,Yes
Female,Yes,3+,Yes,No,1714,7513,7740,180,0,No,Yes
Female,No,1,No,No,9433,4076,5341,180,1,Yes,Yes
Female,No,0,Yes,Yes,4048,3888,1571,240,1,Yes,No
Male,No,0,No,No,9872,6475,2123,240,0,Yes,No
Female,No,3+,No,Yes,3449,2515,7184,240,1,Yes,No
Male,Yes,1,Yes,Yes,1134,1795,1374,180,1,Yes,Yes
Female,No,1,No,No,7960,5038,9715,240,0,No,Yes
Female,No,1,Yes,Yes,9221,4416,4730,180,0,Yes,Yes
Female,Yes,2,No,Yes,7593,3025,2846,360,1,Yes,Yes
Female,No,0,No,No,3995,8950,6735,180,1,Yes,No
Male,Yes,2,Yes,Yes,9829,3402,3221,180,1,Yes,Yes
Female,No,1,No,Yes,2789,4195,7910,180,1,No,Yes
Female,No,0,No,No,5352,3062,2977,240,1,No,Yes
Male,No,2,No,No,5991,7139,2925,180,1,No,Yes
Female,No,1,Yes,Yes,8622,7897,9364,360,1,No,Yes
Male,No,1,No,Yes,2791,2055,1275,360,1,Yes,No
Female,Yes,0,No,Yes,1478,2240,3136,360,1,No,No
Male,Yes,3+,Yes,No,3910,4810,5002,180,1,No,Yes
Female,Yes,2,No,No,4889,6803,3554,180,0,Yes,Yes
Female,Yes,0,Yes,Yes,9134,7089,8562,240,0,Yes,Yes
Female,No,2,No,Yes,1782,4266,4793,240,1,No,Yes
Male,Yes,1,No,Yes,8437,3457,9897,180,1,Yes,Yes
Male,No,2,Yes,No,6352,1816,1059,180,0,No,No
Male,Yes,3+,No,No,3714,7601,6169,360,0,No,Yes
Male,Yes,3+,No,Yes,8468,7602,5219,360,0,Yes,Yes
Male,Yes,3+,No,Yes,8932,9320,9081,240,1,No,No
Female,Yes,1,No,No,8533,3734,5497,360,1,Yes,Yes
Male,No,2,No,Yes,4615,2908,2765,240,0,No,Yes
Female,No,0,No,Yes,1307,7690,6313,360,0,No,No
Male,No,3+,No,Yes,4868,8056,1541,180,1,Yes,No
Male,Yes,0,Yes,Yes,3591,7963,3339,180,1,Yes,Yes
Male,No,2,No,No,5599,9765,2893,240,1,No,No
Female,Yes,2,Yes,No,8357,9930,4884,240,1,Yes,No
Female,No,0,Yes,No,3017,5913,7504,360,0,No,No
Female,No,2,Yes,No,6143,2861,8047,240,1,No,Yes
Female,Yes,0,No,Yes,7436,6062,4781,360,1,Yes,Yes
Male,Yes,3+,No,No,9719,5394,5330,360,1,Yes,No
Female,Yes,3+,Yes,Yes,2664,2646,1637,240,1,Yes,Yes
Female,Yes,0,No,Yes,1955,1076,2005,180,1,Yes,Yes
Male,No,0,Yes,Yes,3572,4475,2539,180,0,No,No
Female,No,2,No,No,2075,8208,2098,360,1,No,No
Male,Yes,1,Yes,No,1215,5788,1630,180,1,Yes,No
Male,Yes,0,No,No,5192,8713,4049,180,1,No,No
Female,Yes,1,No,Yes,1368,2284,4626,240,1,Yes,No
Male,No,2,Yes,No,6845,5731,8777,180,1,No,No
Male,No,2,No,No,1017,3679,3462,240,0,Yes,No
Male,Yes,2,No,No,4194,1191,2622,180,1,Yes,No
Female,Yes,3+,No,No,7706,9339,9259,240,1,Yes,No
Male,No,0,Yes,No,8896,6627,8258,360,0,Yes,Yes
Male,No,3+,Yes,No,9401,7997,1898,240,1,No,Yes
Female,No,0,No,Yes,1784,7106,4382,180,0,Yes,No
Female,No,0,Yes,No,8372,8378,7504,240,1,No,No
Male,Yes,1,No,No,1570,4264,3704,360,1,No,Yes
Male,No,2,Yes,No,8744,9221,5732,360,1,No,No
Female,No,3+,Yes,Yes,7512,1578,7352,180,1,No,No
Female,No,2,Yes,Yes,5949,8856,8316,360,1,Yes,Yes
Male,Yes,3+,No,Yes,2128,3651,9571,240,0,Yes,No
Female,Yes,0,Yes,No,8992,3419,7321,180,1,No,No
Male,Yes,2,No,No,8155,8682,9851,360,1,Yes,No
Female,No,0,No,Yes,5692,9858,5021,240,1,Yes,No
Female,No,2,No,Yes,1914,5885,3381,360,1,No,Yes
Female,Yes,0,Yes,No,2945,2511,8365,180,1,Yes,No
Male,Yes,1,No,No,6597,4064,6418,240,1,Yes,Yes
Male,No,2,No,No,1047,8681,5528,240,1,No,Yes
Female,Yes,2,Yes,Yes,5124,5811,2742,180,1,Yes,Yes
Female,No,3+,Yes,No,2253,7997,3561,180,1,No,No
Male,No,1,No,No,1682,6524,9746,360,1,No,No
Female,Yes,3+,No,Yes,9899,9802,8759,180,1,Yes,Yes
Female,No,2,No,No,2949,5478,7046,180,1,No,No
Male,No,3+,Yes,No,5525,6532,5534,240,1,Yes,No
Female,No,2,No,Yes,7174,7244,5979,240,0,No,Yes
Female,No,2,Yes,No,8609,1750,3325,360,1,Yes,Yes
Female,Yes,1,No,No,7515,7513,4064,180,1,Yes,No
Male,No,1,No,Yes,8122,8157,8423,240,1,No,Yes
Male,Yes,3+,No,No,3598,4126,4355,180,1,No,Yes
Female,No,1,Yes,Yes,5698,1458,2257,360,1,Yes,Yes
Female,Yes,3+,Yes,No,6406,9258,3797,180,1,No,No
Male,No,2,No,Yes,4573,4566,3080,180,0,No,Yes
Female,No,0,No,Yes,7278,5741,4805,180,1,Yes,No
Female,No,1,Yes,No,2559,9391,2891,180,1,Yes,No
Male,Yes,1,Yes,No,5477,6626,8328,360,1,Yes,No
Male,No,1,No,Yes,5503,6392,6822,180,0,No,No
Female,Yes,1,Yes,No,1261,2418,7305,240,1,Yes,Yes
Male,No,2,No,No,7018,8201,8904,240,1,No,No
Male,Yes,0,No,Yes,9183,9752,9998,180,1,Yes,Yes
Male,No,0,No,No,4045,3599,6479,360,1,Yes,Yes
Male,Yes,2,No,No,5508,2673,7841,180,1,Yes,No
Male,Yes,2,Yes,No,8931,8733,2860,180,1,No,Yes
Female,No,0,Yes,No,9357,7198,7640,360,1,No,No
Female,Yes,1,Yes,No,5935,8599,4324,180,1,Yes,Yes
Male,No,0,No,No,3285,6100,2356,240,1,Yes,No
Female,Yes,3+,Yes,Yes,4593,6535,3988,240,1,Yes,Yes
Female,Yes,2,Yes,No,7686,7497,4475,180,1,Yes,Yes
Male,Yes,2,No,Yes,2493,9729,9392,240,0,Yes,Yes
Male,Yes,3+,Yes,No,2919,6519,6789,240,0,No,Yes
Male,Yes,3+,No,No,7415,4820,1389,360,1,Yes,No
Female,Yes,0,No,Yes,6264,7695,7173,360,0,Yes,Yes
Female,Yes,3+,Yes,No,5504,8140,9664,180,1,Yes,No
Male,No,1,Yes,Yes,7470,5810,8427,180,1,No,Yes
Female,No,2,Yes,Yes,4549,6442,8189,240,1,No,Yes
Female,No,0,No,Yes,3272,8460,2089,240,1,No,No
Male,Yes,3+,Yes,Yes,3715,8946,6216,360,1,Yes,Yes
Female,No,3+,No,Yes,6345,8881,7718,360,1,No,Yes
Male,Yes,0,No,Yes,1395,2426,4814,180,1,Yes,No
Female,No,2,No,No,2993,4845,7215,240,1,Yes,No
Female,No,1,Yes,No,3035,8806,7047,360,1,Yes,No
Male,No,2,No,Yes,8460,3470,9261,360,1,No,No
Male,No,2,No,Yes,3679,8191,6431,180,1,No,No
Female,Yes,3+,Yes,No,8518,6222,7580,240,0,Yes,Yes
Male,Yes,1,No,Yes,9668,3939,1795,240,1,Yes,Yes
Male,No,0,No,No,6349,6164,3538,240,1,Yes,Yes
Male,Yes,3+,Yes,Yes,5471,7540,9275,360,1,Yes,No
Female,No,0,No,No,3259,1405,5601,240,1,No,Yes
Male,No,2,Yes,Yes,9621,6588,4357,360,0,Yes,Yes
Male,No,1,Yes,Yes,4110,8498,2385,180,1,Yes,No
Female,No,2,No,Yes,1760,2365,7684,240,1,Yes,No
Female,No,0,No,Yes,3726,6152,7248,180,1,No,No
Female,No,2,Yes,Yes,2318,8719,5479,240,1,No,Yes
Male,No,3+,No,No,1585,1054,7318,360,0,No,No
Female,No,0,No,Yes,1140,3798,3814,360,1,No,No
Male,Yes,2,Yes,No,9496,8430,2666,360,1,Yes,No
Female,Yes,0,Yes,Yes,7780,8174,8148,360,1,Yes,Yes
Male,Yes,0,No,No,9784,2758,4374,240,0,No,No
Female,Yes,3+,Yes,No,7645,6471,2019,180,1,No,No
Male,No,3+,No,Yes,3746,9514,7749,240,0,Yes,No
Female,No,3+,No,Yes,9527,6948,8381,360,1,No,No
Female,No,3+,No,Yes,2768,9872,3104,240,0,No,Yes
Female,No,3+,Yes,No,3823,1244,8049,360,1,Yes,Yes
Female,No,2,No,Yes,6575,4205,6915,360,1,No,Yes
Male,No,3+,No,No,4695,5523,7046,360,1,No,Yes
Female,No,3+,Yes,Yes,4026,5290,5739,360,1,No,No
Male,Yes,3+,No,No,8849,9614,3967,180,1,No,No
Male,No,0,No,No,5977,8616,6878,360,1,No,Yes
Female,No,1,No,Yes,6298,5672,5580,360,1,Yes,No
